"","X","states","SC_population","crime_reported","year","percent_change","crime_rate","party","totalpopulation","sc_percent","murder","murder_rate","gdp_per_capita","literacy_percent","income_status","literacy_status"
"107",107,"Madhya Pradesh",113.42,3245,2011,-3.8233550682,28.6104743431,"NDA",725.97565,15.6231135300475,2511,3.45879369370033,3600,82.2,"Low","Low"
"108",108,"Madhya Pradesh",113.42,2875,2012,-11.4021571649,25.3482630929,"NDA",725.97565,15.6231135300475,2373,3.26870467349697,2900,80.33,"Low","Low"
"109",109,"Madhya Pradesh",113.42,2945,2013,2.4347826087,25.9654381943,"NDA",725.97565,15.6231135300475,2112,2.90918848311235,1200,87.75,"High","Low"
"110",110,"Madhya Pradesh",113.42,3294,2014,11.8505942275,29.0424969141,"NDA",725.97565,15.6231135300475,2274,3.13233646335108,1100,69.72,"High","High"
"111",111,"Madhya Pradesh",113.42,3546,2015,7.650273224,31.2643272791,"NDA",725.97565,15.6231135300475,2339,3.2218711467802,2900,79.63,"Low","Mid"
"112",112,"Madhya Pradesh",113.42,4922,2016,38.80428652,43.3962264151,"NDA",725.97565,15.6231135300475,2004,2.76042316295319,1600,77.08,"Mid","Mid"
"113",113,"Maharashtra",132.76,1096,2009,NA,8.2554986442,"UPA",1123.72972,11.8142287809207,2653,2.36088799004088,2200,67.4,"Mid","High"
"114",114,"Maharashtra",132.76,1132,2010,3.2846715328,8.526664658,"UPA",1123.72972,11.8142287809207,2744,2.44186831687605,2200,66.95,"Mid","High"
"115",115,"Maharashtra",132.76,1143,2011,0.9717314488,8.60952094,"UPA",1123.72972,11.8142287809207,2818,2.50772045078598,1300,73.18,"High","Mid"
"116",116,"Maharashtra",132.76,1091,2012,-4.5494313211,8.2178366978,"UPA",1123.72972,11.8142287809207,2712,2.41339171842852,1000,63.82,"High","High"
"117",117,"Maharashtra",132.76,1678,2013,53.8038496792,12.6393492016,"UPA",1123.72972,11.8142287809207,2512,2.23541297813143,1800,71.04,"Mid","High"
"118",118,"Maharashtra",132.76,1768,2014,5.3635280095,13.3172642362,"UPA",1123.72972,11.8142287809207,2670,2.37601618296613,4300,87.4,"Low","Low"
"119",119,"Maharashtra",132.76,1804,2015,2.036199095,13.5884302501,"NDA",1123.72972,11.8142287809207,2509,2.23274329702698,3400,79.31,"Low","Mid"
"120",120,"Maharashtra",132.76,1750,2016,-2.9933481153,13.1816812293,"NDA",1123.72972,11.8142287809207,2299,2.04586561971503,3400,76.64,"Low","Mid"
"121",121,"Manipur",0.97,0,2009,NA,0,"UPA",27.21756,3.5638756743808,131,4.81306920973078,2900,83.78,"Low","Low"
"122",122,"Manipur",0.97,0,2010,NA,0,"UPA",27.21756,3.5638756743808,92,3.38017074271169,1800,68.74,"Mid","High"
"123",123,"Manipur",0.97,0,2011,NA,0,"UPA",27.21756,3.5638756743808,78,2.86579693403817,1200,67.63,"High","High"
"124",124,"Manipur",0.97,0,2012,NA,0,"UPA",27.21756,3.5638756743808,83,3.04950186570729,3300,75.6,"Low","Mid"
"125",125,"Manipur",0.97,1,2013,Inf,1.0309278351,"UPA",27.21756,3.5638756743808,93,3.41691172904551,3100,93.91,"Low","Low"
"126",126,"Manipur",0.97,1,2014,0,1.0309278351,"UPA",27.21756,3.5638756743808,96,3.52713468804698,1600,70.63,"Mid","High"
"127",127,"Manipur",0.97,0,2015,-100,0,"UPA",27.21756,3.5638756743808,81,2.97601989303964,3600,82.91,"Low","Low"
"128",128,"Manipur",0.97,2,2016,Inf,2.0618556701,"UPA",27.21756,3.5638756743808,78,2.86579693403817,920,79.85,"High","Mid"
"129",129,"Meghalaya",0.17,0,2009,NA,0,"UPA",29.64007,0.573547903226949,128,4.31847833017938,1600,75.48,"Mid","Mid"
