"","states","year","party","murder","attempt_to_murder","culpable_homicide","rape","kidnapping_abduction","dacoity","preparation_of_dacoity","crimes_against_SC","population"
"1","ANDHRA PRADESH",2009,"UPA",2.89255841571327,2.19569869122539,0.158269835731147,1.40316839439256,2.3126293907581,0.120474054064007,0.031890190781649,5.31975626964989,846.65533
"2","ANDHRA PRADESH",2010,"UPA",2.99767793347501,2.30672379987261,0.183073317450207,1.60868295720763,2.42483561758242,0.158269835731147,0.00236223635419622,5.10361164324094,846.65533
"3","ANDHRA PRADESH",2011,"UPA",3.3165798412915,2.63271241675169,0.201971208283777,1.70317241137548,2.54412855346933,0.148820890314362,0.00826782723968678,4.74337059922602,846.65533
"4","ANDHRA PRADESH",2012,"UPA",3.20909808717557,2.57838098060518,0.186616671981502,1.58387947548857,2.20869099117347,0.154726481199853,0.00118111817709811,3.61067826738893,846.65533
"5","ANDHRA PRADESH",2013,"UPA",2.93389755191171,2.65633478029365,0.200790090106679,1.93112821955541,2.5027894172709,0.147639772137264,0.00590559088549056,3.86225643911082,846.65533
"6","ANDHRA PRADESH",2014,"NDA",2.93271643373461,3.07326949680929,0.20669568099217,2.29136926357034,2.61972011680361,0.158269835731147,0.00236223635419622,4.18115834692731,846.65533
"7","ANDHRA PRADESH",2015,"NDA",2.70121727102338,3.40162035004256,0.245672580836407,2.51814395357317,2.3161727452894,0.107481754115928,0.0153545363022754,4.20005623776088,846.65533
"8","BIHAR",2009,"NDA",3.03647321650959,2.95555197596809,0.234093588709337,0.894950386464913,3.1039075836275,0.630029658501672,0.0616542785078089,0.00192669620336903,1038.04637
"9","BIHAR",2010,"NDA",3.23877631786333,2.80815971641036,0.331391746979473,0.765861740839188,3.5393409255889,0.620396177484827,0.0443140126774876,0.00481674050842257,1038.04637
"10","BIHAR",2011,"NDA",3.08078722918707,3.20505913430438,0.335245139386211,0.899767126973335,4.1115696979895,0.535621544536589,0.101151550676874,0.00385339240673805,1038.04637
"11","BIHAR",2012,"NDA",3.43529933060697,5.25217385038397,0.274554208980086,0.893023690261544,4.63081432479746,0.520207974909637,0.0520207974909637,3.69540331806179,1038.04637
"12","BIHAR",2013,"NDA",3.31488081789641,3.74646076745107,0.249507158336289,1.08665665870013,5.36584892638274,0.557778550875333,0.0510574493892792,3.38713192552275,1038.04637
"13","BIHAR",2014,"UPA",3.2782735900324,4.21850133727648,0.193632968438587,1.08569331059845,6.32919702806725,0.518281278706268,0.0539474936943328,3.49021017240299,1038.04637
"14","BIHAR",2015,"UPA",3.06152026715338,5.76178499617507,0.116565120303826,1.00284537385358,6.86674526880721,0.410386291317603,0.0568375379993863,4.64430119822104,1038.04637
