"","murder","attempt_to_murder","culpable_homicide","rape","kidnapping_abduction","dacoity","preparation_of_dacoity","crimes_against_SC"
"150",1461,1566,100,1800,3204,28,72,0
"151",1461,1538,98,2049,3243,31,74,0
"152",1573,1662,86,3285,4986,59,61,0
"153",1637,1794,81,3759,5671,64,110,1709
"154",1569,1645,69,3644,5426,68,78,1710
"155",19,7,3,18,6,0,0,1455
"156",17,6,2,18,6,1,0,2265
"157",14,7,8,16,10,0,0,2592
"158",7,7,0,34,10,0,0,1657
"159",15,12,0,43,16,0,0,1823
"160",12,14,2,47,20,1,0,1796
"161",17,17,2,5,21,0,0,108
"162",1776,2325,26,596,1372,97,34,115
"163",1875,2641,32,686,1720,85,12,90
"164",1877,2962,28,677,1984,101,11,71
"165",1949,2954,44,737,1945,97,19,126
"166",1936,3007,33,923,1779,83,55,123
"167",1805,2922,50,455,1746,101,74,147
"168",1748,2935,59,421,1603,93,80,132
"169",133,59,2,190,121,7,0,4985
"170",150,63,8,238,114,16,2,4979
"171",163,75,0,205,154,11,0,5182
"172",124,79,2,229,139,7,0,5559
"173",142,59,1,233,144,9,1,6475
"174",140,79,3,239,126,1,3,6735
"175",144,89,3,213,152,4,1,5911
"176",4534,4141,1439,1759,6083,365,59,5134
"177",4401,4004,1401,1563,6321,337,48,16
"178",4951,4653,1454,2042,8500,379,39,3
"179",4966,4811,1410,1963,8878,322,68,9
"180",5047,5259,1268,3050,11183,596,70,5
"181",5150,5223,1412,3467,12361,294,75,6
"182",4732,4897,1338,3025,11999,277,56,3
"183",195,185,51,111,275,35,7,3
"184",176,219,60,121,286,12,2,1
"185",178,189,54,129,314,13,1,1312
"186",217,161,44,148,297,29,3,1631
"187",197,181,42,228,1032,17,7,1391
"188",218,171,38,270,691,19,1,1647
"189",192,199,38,283,757,17,3,1845
"190",2068,2119,931,2336,2750,214,724,1494
"191",2398,2111,630,2311,3345,288,687,1736
"192",2109,2242,486,2363,4285,236,939,1291
"193",2252,2854,522,2046,5117,279,875,7
"194",2264,3523,415,1685,4573,206,1099,11
"195",2217,7248,342,1466,6110,139,1131,22
"196",2096,9918,328,1199,6115,163,1424,76
